Month,ACC,Adani Ports,"Adani
Transmission","Ambuja 
Cement","Ashok 
Leyland",Asian_Paints,"Aurobindo 
Pharma","Avenue 
Supermarts","Axis 
Bank ",Bajaj Auto,"Bajaj
Finance","Bajaj
Finserv",BHIL,"Bandhan
Bank","Bank Of 
Baroda","Berger
Paints","Bharat 
Petroleum
Corporation ",Airtel,"Bharti 
Infratel",Biocon,Bosch,"Britannia 
Industries ","Cadila 
Healthcare ",Cipla,Coal India ,Colgate,"Container 
Corporation
Of India","Dabur 
India ","Divis
Laboratories ",DLF,Dr. Reddy�s,Eicher Motor,GAIL,"General Insurance
Corporation 
Of India",Godrej,"Grasim 
Industries",Havells ,"HCL
Technologies","HDFC Asset
Management
Company","HDFC 
Bank","HDFC Life
Insurance
Company ","Hero
MotoCorp","Hindalco
Industries","Hindustan 
Petroleum
Corporation","Hindustan 
Unilever","Hindustan
Zinc","Housing 
Development
Finance Corporation","ICICI 
Bank","ICICI Lombard 
General Insurance
 Company","ICICI Prudential
Life Insurance 
Company","Indiabulls
Housing
Finance","Indian
Oil
Corporation","Indusland 
Bank",Infosys,"Interglobe
Aviation",ITC,"JSW 
Steel","Kotak
Mahindra
Bank","Larsen 
And
Toubro","L&T
Finance
Holdings",Lupin,"Mahindra &
Mahindra",Marico,"Maruti
Suzuki","Motherson
Sumi 
Systems",Nestle,"New India
Assurance
Company",NHPC,NMDC,NTPC,"Oil & Natural
Gas 
Corporation","Oracle Financial
Services
Software","Page
Industries","Petronet 
LNG","Pidilite
Industries","Piramal
Enterprises","Power 
Finance
Coporation","Power Grid
Corporation
Of India","Procter and 
Gamble Hygiene 
And Healthcare","Punjab
National
Bank","Reliance
Industries","SBI Life
Insurance
Company","Shree
Cement","Shriram
Transport
Finance Company",Siemens,SBI,"Sun
Pharmaceutical
Industries","Tata
Consultancy
Services","Tata
Motors","Tata Motors
DVR","Tata
Steel","Tech 
Mahindra","Titan
Company","Ultratech
Cement","United
Breweries","United
Spirits",UPL,Vedanta,Vodafone Idea,Wipro,"Zee 
Entertainment
Enterprises"
2005-01,2.013,-0.845,-0.639,0.117,0.968,-0.181,1.31,-0.413,-1.79,1.802,-1.006,-0.802,-1.384,-0.63,-0.58,3.94,1.185,-0.784,-1.072,4.903,1.229,4.305,-1.161,0.886,-0.063,2.593,0.351,2.588,-0.655,-0.678,-0.431,-1.002,1.95,2.222,0.392,5.483,-0.705,1.272,-0.596,-1.114,-0.75,-0.973,1.59,1.118,-1.34,0.246,5.941,-0.518,-0.61,-0.71,-0.58,3.196,-0.842,1.533,-0.822,1.689,-2.138,-1.853,0.716,-0.81,2.676,1.215,2.44,-1.704,5.622,1.052,3.049,0.139,-1.168,2.168,3.724,4.639,2.085,2.465,3.699,-0.932,3.362,1.509,-0.204,0.483,2.358,-0.828,2.875,-1.076,2.353,-1.946,-0.616,3.12,0.053,-0.996,-0.468,-1.773,2.713,4.987,0.535,0.83,0.586,0.151,-1.674,1.386,-0.812
2005-02,-0.108,-0.845,-0.639,2.444,1.816,0.835,-0.715,-0.413,-1.828,1.017,-1.245,-0.802,-1.384,-0.63,-0.748,4.778,1.929,-1.298,-1.072,4.458,0.654,6.273,1.797,-1.897,0.14,1.971,1.06,3.496,-0.655,-0.926,-0.431,-1.002,5.911,2.222,1.058,2.299,-1.989,1.127,-0.596,-0.739,3.686,-0.973,1.636,1.185,-0.647,-1.282,3.753,-0.72,-0.61,2.835,-0.58,2.325,3.943,1.577,-0.822,1.272,-2.138,-1.96,3.265,-0.81,1.569,1.969,1.501,-2.042,-0.956,2.808,1.379,-0.081,-1.168,1.892,5.937,-0.805,-1.164,2.593,3.783,-0.932,2.36,1.509,-0.204,0.658,1.174,-0.828,-2.2,-1.076,1.978,-1.946,-0.616,1.689,-0.186,-0.996,0.231,-1.507,2.873,-0.79,5.4,-1.526,0.586,0.233,-1.674,2.763,-0.812
2005-03,0.811,-0.845,-0.639,3.676,-0.799,0.373,-0.156,-0.413,-1.828,1.389,-1.198,-0.802,-1.384,-0.63,-0.496,1.286,0.937,-1.105,-1.072,2.871,3.856,2.044,-1.161,0.19,-0.063,1.902,-1.066,2.397,-0.655,-0.926,-0.431,-1.002,2.244,1.774,1.003,2.754,-2.092,0.692,-0.596,-0.989,-0.75,-0.973,1.216,0.116,-0.785,2.713,-1.048,-0.67,4.545,2.303,-0.58,2.151,-0.842,1.27,-0.822,2.002,-2.138,-1.315,2.464,-0.81,0.548,1.85,0.76,-1.478,-0.956,2.589,0.924,0.469,-0.549,0.953,3.073,-0.805,1.634,2.593,3.109,-0.932,1.057,-0.82,-0.204,2.925,1.4,-0.828,4.425,-1.076,1.828,-1.987,-0.616,2,1.806,-0.996,-1.401,-1.773,-1.307,1.311,3.778,0.494,0.264,-0.264,-1.674,2.289,-0.812
2005-04,1.447,-0.845,-0.639,2.376,-0.658,0.835,3.404,-0.413,-1.828,1.224,-0.911,-0.802,-1.384,-0.63,-0.748,1.216,1.185,-1.362,-1.072,1.474,-1.398,2.555,-1.161,1.442,-0.775,1.557,-1.066,1.824,-0.655,-0.864,-0.431,4.271,1.364,2.147,0.67,3.404,-0.705,2.625,-0.596,-1.177,-0.75,-0.973,-1.306,0.25,-1.34,1.832,-1.048,-0.872,-0.61,-0.71,-0.58,1.802,-0.842,1.621,-0.822,1.063,-2.138,-1.315,5.596,-0.81,-0.048,0.976,2.143,-0.97,-0.956,0.723,2.214,-0.081,0.248,0.842,3.724,-0.805,2.085,4.901,1.424,-0.932,-0.747,-0.82,-0.204,0.919,0.046,4.885,-2.2,-1.076,1.941,-1.987,-0.616,4.925,-0.505,-0.996,0.775,-1.773,6.733,-0.79,3.713,-1.526,-1.348,-0.098,-1.674,1.859,-0.812
2005-05,0.457,-0.845,-0.639,-0.225,-0.092,0.373,-1.134,-0.413,-1.828,1.431,-1.485,-0.802,-1.384,-0.63,-0.917,-0.46,1.433,-1.105,-1.072,1.982,2.214,-1.018,-1.161,0.538,-0.165,1.833,0.706,2.015,4.433,-1.05,-0.431,-1.002,1.07,1.699,0.559,0.804,-2.092,1.562,-0.596,-0.864,-0.75,-0.973,-1.306,0.851,-0.785,0.011,-1.048,-0.619,-0.61,5.198,-0.58,2.499,7.132,1.971,3.4,1.689,-2.138,-1.207,1.371,-0.81,-0.218,0.818,1.007,-0.124,-0.956,0.01,-1.277,-0.081,-0.814,0.013,3.008,-0.805,-1.164,3.17,1.003,-0.932,0.957,0.467,-0.204,0.309,0.046,3.971,-0.015,-1.076,1.078,-1.904,-0.616,2.186,-0.107,-0.996,-0.624,-1.773,-1.307,2.449,3.648,-1.526,0.264,-0.347,-1.674,1.73,-0.812
2005-06,1.376,-0.845,-0.639,2.786,-0.799,0.096,2.217,-0.413,-1.828,1.761,-1.006,-0.802,2.365,-0.63,-0.327,0.518,1.268,-1.298,-1.072,2.681,1.886,3.211,3.405,-1.201,-0.368,1.349,0.635,2.732,-0.655,-0.74,-0.431,3.205,1.143,1.625,1.669,0.739,-1.116,0.885,-0.596,-1.114,-0.75,-0.973,3.364,2.253,-1.34,-0.048,-1.048,-0.417,-0.61,2.067,-0.58,1.919,-0.842,1.577,-0.822,0.855,-1.118,-0.992,4.139,-0.81,1.91,1.056,2.242,-1.365,-0.956,0.943,-1.277,-0.081,-0.814,0.29,-0.571,-0.805,1.453,3.555,0.919,-0.932,-0.747,5.309,-0.204,-0.127,0.779,3.628,-0.156,-1.076,1.603,-1.946,-0.616,2,-0.186,-0.996,-0.935,-1.773,1.909,-1.402,0.794,-1.526,-1.348,0.233,-1.674,1.644,-0.812
2005-07,0.952,-0.845,-0.639,1.281,-0.022,-0.181,-1.273,-0.413,-1.828,2.546,-1.245,-0.802,-1.384,-0.37,-0.58,0.378,0.689,-0.849,-1.072,1.347,0.08,3.065,-1.161,0.816,-0.165,1.142,2.194,1.968,4.002,-0.926,-0.431,-1.002,-0.103,-0.762,0.781,0.61,-1.681,2.093,-0.596,-1.114,2.577,-0.973,0.936,1.385,-1.34,1.068,2.482,-0.518,-0.61,4.607,-0.58,0.873,2.746,2.191,-0.822,1.637,-2.138,-2.337,1.08,-0.81,-0.473,1.493,1.057,-2.155,-0.956,-0.649,1.379,-0.081,-0.46,2.555,-0.571,-0.805,-1.164,0.926,-0.935,-0.932,2.36,1.57,-0.204,0.396,3.148,-0.828,1.747,-1.076,2.128,-1.821,-0.616,2.995,-0.107,-0.996,-0.235,-1.773,1.828,-0.44,1.378,-1.526,0.102,-0.098,-1.674,2.031,-0.812
2005-08,1.73,-0.845,-0.639,1.281,0.12,0.189,-1.273,-0.413,-1.828,2.174,-1.054,-0.802,2.147,-0.63,-0.664,-0.67,1.185,-0.592,-1.072,2.046,2.296,1.68,5.27,1.025,-0.47,4.597,1.06,0.487,-0.655,-0.678,-0.431,2.98,0.483,-0.762,1.336,0.61,-1.167,3.253,4.961,-1.239,-0.75,-0.973,-1.306,0.65,-1.34,2.184,6.012,-0.417,-0.61,1.949,-0.58,1.222,-0.842,1.577,-0.822,2.21,-2.138,-1.691,0.133,2.941,1.314,1.453,2.291,-1.422,3.978,3.247,1.303,-0.191,-0.814,0.234,-0.571,-0.805,1.273,2.721,-0.935,-0.932,-0.747,-0.82,-0.204,0.309,1.23,3.514,0.69,-1.076,2.316,-1.821,-0.616,2.746,0.69,-0.996,0.464,-1.773,1.748,0.698,2.545,-1.526,-1.348,0.316,-1.674,1.429,-0.812
2005-09,2.719,-0.845,-0.639,1.144,-0.375,1.296,-0.575,-0.413,-1.828,1.389,-1.054,-0.802,-1.384,-0.63,-0.58,0.727,0.607,-0.72,-1.072,2.427,0.244,1.534,0.897,-0.019,-0.674,2.04,-0.074,1.824,-0.655,-0.678,-0.431,2.812,0.043,1.401,0.781,0.545,-1.732,1.755,-0.596,-1.114,-0.75,-0.973,2.897,0.65,-0.878,0.95,-1.048,-0.619,-0.61,-0.71,-0.58,2.79,2.587,2.322,-0.822,2.94,-2.138,-1.261,1.808,-0.81,1.995,2.009,3.378,-1.76,3.78,1.875,2.442,-0.191,-0.372,-0.097,-0.571,-0.805,1.182,0.221,7.491,3.611,-0.045,0.283,-0.204,-0.04,0.554,3.285,-0.368,-1.076,1.115,-1.821,6.409,1.066,0.531,-0.996,0.309,-1.773,1.587,1.573,3.518,0.157,0.049,-0.844,-1.674,1.299,-0.812
2005-10,3.073,-0.845,-0.639,1.486,0.12,1.481,-0.645,-0.413,-1.828,2.05,-0.815,-0.802,-1.384,-0.63,-0.917,0.727,0.607,-0.399,-1.072,1.855,0.326,1.534,-1.161,-0.784,0.039,3.698,0.918,2.063,7.968,-0.802,-0.431,2.756,0.483,1.326,0.836,0.545,-1.27,1.272,-0.596,-0.927,5.411,-0.973,-1.306,2.586,-1.34,-0.166,2.27,-0.568,-0.61,1.83,-0.58,1.396,2.507,1.314,-0.822,2.471,-0.325,-0.884,-0.814,-0.81,2.846,0.5,2.39,-1.76,-0.956,2.259,-0.063,-0.411,-0.549,-0.097,2.487,-0.805,-1.164,3.619,0.75,-0.932,-0.747,0.283,-0.204,-0.04,1.118,-0.828,-0.368,4.542,2.053,-1.779,-0.616,0.817,0.212,-0.996,0.464,-1.773,1.587,-0.615,1.183,-1.526,-0.005,-0.264,-1.674,1.041,-0.812
