cobeta_cocode|company_name|cobeta_from_date|cobeta_to_date|beta
23354|A C C LTD.|01-04-2004|31-03-2009|0.8355
23354|A C C LTD.|01-04-2005|31-03-2010|0.8382
23354|A C C LTD.|01-04-2006|31-03-2011|0.8035
23354|A C C LTD.|01-04-2007|31-03-2012|0.7707
23354|A C C LTD.|01-04-2008|31-03-2013|0.7795
23354|A C C LTD.|01-04-2009|31-03-2014|0.7668
23354|A C C LTD.|01-04-2010|31-03-2015|0.8257
23354|A C C LTD.|01-04-2011|31-03-2016|0.9153
23354|A C C LTD.|01-04-2012|31-03-2017|0.9830
23354|A C C LTD.|01-04-2013|31-03-2018|1.0321
23354|A C C LTD.|01-04-2014|31-03-2019|1.0033
23354|A C C LTD.|01-04-2015|31-03-2020|1.0499
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2005|31-03-2010|1.0679
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2006|31-03-2011|1.0528
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2007|31-03-2012|1.0761
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2008|31-03-2013|0.9693
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2009|31-03-2014|1.0683
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2010|31-03-2015|1.3198
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2011|31-03-2016|1.4687
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2012|31-03-2017|1.6272
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2013|31-03-2018|1.6920
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2014|31-03-2019|1.6801
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|01-04-2015|31-03-2020|1.4440
502255|ADANI TRANSMISSION LTD.|01-04-2013|31-03-2018|2.2063
502255|ADANI TRANSMISSION LTD.|01-04-2014|31-03-2019|2.1115
502255|ADANI TRANSMISSION LTD.|01-04-2015|31-03-2020|1.8087
86607|AMBUJA CEMENTS LTD.|01-04-2004|31-03-2009|0.7863
86607|AMBUJA CEMENTS LTD.|01-04-2005|31-03-2010|0.7633
86607|AMBUJA CEMENTS LTD.|01-04-2006|31-03-2011|0.7404
86607|AMBUJA CEMENTS LTD.|01-04-2007|31-03-2012|0.7293
86607|AMBUJA CEMENTS LTD.|01-04-2008|31-03-2013|0.8376
86607|AMBUJA CEMENTS LTD.|01-04-2009|31-03-2014|0.7549
86607|AMBUJA CEMENTS LTD.|01-04-2010|31-03-2015|0.9211
86607|AMBUJA CEMENTS LTD.|01-04-2011|31-03-2016|0.9428
86607|AMBUJA CEMENTS LTD.|01-04-2012|31-03-2017|1.0451
86607|AMBUJA CEMENTS LTD.|01-04-2013|31-03-2018|1.0900
86607|AMBUJA CEMENTS LTD.|01-04-2014|31-03-2019|1.0797
86607|AMBUJA CEMENTS LTD.|01-04-2015|31-03-2020|1.1344
22104|ASHOK LEYLAND LTD.|01-04-2004|31-03-2009|1.0411
22104|ASHOK LEYLAND LTD.|01-04-2005|31-03-2010|1.1361
22104|ASHOK LEYLAND LTD.|01-04-2006|31-03-2011|1.1509
22104|ASHOK LEYLAND LTD.|01-04-2007|31-03-2012|1.1503
22104|ASHOK LEYLAND LTD.|01-04-2008|31-03-2013|1.1881
22104|ASHOK LEYLAND LTD.|01-04-2009|31-03-2014|1.3219
22104|ASHOK LEYLAND LTD.|01-04-2010|31-03-2015|1.3323
22104|ASHOK LEYLAND LTD.|01-04-2011|31-03-2016|1.3924
22104|ASHOK LEYLAND LTD.|01-04-2012|31-03-2017|1.4905
22104|ASHOK LEYLAND LTD.|01-04-2013|31-03-2018|1.4294
22104|ASHOK LEYLAND LTD.|01-04-2014|31-03-2019|1.4278
22104|ASHOK LEYLAND LTD.|01-04-2015|31-03-2020|1.4809
22859|ASIAN PAINTS LTD.|01-04-2004|31-03-2009|0.3802
22859|ASIAN PAINTS LTD.|01-04-2005|31-03-2010|0.4228
22859|ASIAN PAINTS LTD.|01-04-2006|31-03-2011|0.4255
22859|ASIAN PAINTS LTD.|01-04-2007|31-03-2012|0.4069
22859|ASIAN PAINTS LTD.|01-04-2008|31-03-2013|0.4525
22859|ASIAN PAINTS LTD.|01-04-2009|31-03-2014|0.4920
22859|ASIAN PAINTS LTD.|01-04-2010|31-03-2015|0.5546
22859|ASIAN PAINTS LTD.|01-04-2011|31-03-2016|0.5715
22859|ASIAN PAINTS LTD.|01-04-2012|31-03-2017|0.7260
22859|ASIAN PAINTS LTD.|01-04-2013|31-03-2018|0.7548
22859|ASIAN PAINTS LTD.|01-04-2014|31-03-2019|0.7417
22859|ASIAN PAINTS LTD.|01-04-2015|31-03-2020|0.6947
24685|AUROBINDO PHARMA LTD.|01-04-2004|31-03-2009|0.8071
24685|AUROBINDO PHARMA LTD.|01-04-2005|31-03-2010|0.8891
24685|AUROBINDO PHARMA LTD.|01-04-2006|31-03-2011|0.8927
24685|AUROBINDO PHARMA LTD.|01-04-2007|31-03-2012|0.9501
24685|AUROBINDO PHARMA LTD.|01-04-2008|31-03-2013|1.0531
24685|AUROBINDO PHARMA LTD.|01-04-2009|31-03-2014|1.2252
24685|AUROBINDO PHARMA LTD.|01-04-2010|31-03-2015|1.1401
24685|AUROBINDO PHARMA LTD.|01-04-2011|31-03-2016|1.1760
24685|AUROBINDO PHARMA LTD.|01-04-2012|31-03-2017|0.9984
24685|AUROBINDO PHARMA LTD.|01-04-2013|31-03-2018|0.8588
24685|AUROBINDO PHARMA LTD.|01-04-2014|31-03-2019|0.9472
24685|AUROBINDO PHARMA LTD.|01-04-2015|31-03-2020|1.2714
256066|AXIS BANK LTD.|01-04-2004|31-03-2009|1.2084
256066|AXIS BANK LTD.|01-04-2005|31-03-2010|1.1434
256066|AXIS BANK LTD.|01-04-2006|31-03-2011|1.1935
256066|AXIS BANK LTD.|01-04-2007|31-03-2012|1.2175
256066|AXIS BANK LTD.|01-04-2008|31-03-2013|1.3052
256066|AXIS BANK LTD.|01-04-2009|31-03-2014|1.2652
256066|AXIS BANK LTD.|01-04-2010|31-03-2015|1.5481
256066|AXIS BANK LTD.|01-04-2011|31-03-2016|1.4340
256066|AXIS BANK LTD.|01-04-2012|31-03-2017|1.3545
256066|AXIS BANK LTD.|01-04-2013|31-03-2018|1.3398
256066|AXIS BANK LTD.|01-04-2014|31-03-2019|1.1720
256066|AXIS BANK LTD.|01-04-2015|31-03-2020|1.2768
374518|BAJAJ AUTO LTD.|01-04-2006|31-03-2011|0.8990
374518|BAJAJ AUTO LTD.|01-04-2007|31-03-2012|0.8950
374518|BAJAJ AUTO LTD.|01-04-2008|31-03-2013|0.8875
374518|BAJAJ AUTO LTD.|01-04-2009|31-03-2014|0.8164
374518|BAJAJ AUTO LTD.|01-04-2010|31-03-2015|0.8075
374518|BAJAJ AUTO LTD.|01-04-2011|31-03-2016|0.8154
374518|BAJAJ AUTO LTD.|01-04-2012|31-03-2017|0.8298
374518|BAJAJ AUTO LTD.|01-04-2013|31-03-2018|0.8413
374518|BAJAJ AUTO LTD.|01-04-2014|31-03-2019|0.8179
374518|BAJAJ AUTO LTD.|01-04-2015|31-03-2020|0.8456
374519|BAJAJ FINSERV LTD.|01-04-2006|31-03-2011|1.1059
374519|BAJAJ FINSERV LTD.|01-04-2007|31-03-2012|1.0747
374519|BAJAJ FINSERV LTD.|01-04-2008|31-03-2013|1.0656
374519|BAJAJ FINSERV LTD.|01-04-2009|31-03-2014|0.9847
374519|BAJAJ FINSERV LTD.|01-04-2010|31-03-2015|0.8844
374519|BAJAJ FINSERV LTD.|01-04-2011|31-03-2016|0.8166
374519|BAJAJ FINSERV LTD.|01-04-2012|31-03-2017|0.9518
374519|BAJAJ FINSERV LTD.|01-04-2013|31-03-2018|0.9502
374519|BAJAJ FINSERV LTD.|01-04-2014|31-03-2019|1.0001
374519|BAJAJ FINSERV LTD.|01-04-2015|31-03-2020|1.2201
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2004|31-03-2009|0.6900
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2005|31-03-2010|0.7316
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2006|31-03-2011|0.7236
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2007|31-03-2012|0.6674
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2008|31-03-2013|0.7266
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2009|31-03-2014|0.6214
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2010|31-03-2015|0.5552
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2011|31-03-2016|0.4924
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2012|31-03-2017|0.6820
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2013|31-03-2018|0.6661
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2014|31-03-2019|0.7049
28899|BAJAJ HOLDINGS & INVST. LTD.|01-04-2015|31-03-2020|0.8724
28897|BAJAJ FINANCE LTD.|01-04-2004|31-03-2009|0.8509
28897|BAJAJ FINANCE LTD.|01-04-2005|31-03-2010|1.0158
28897|BAJAJ FINANCE LTD.|01-04-2006|31-03-2011|1.0254
28897|BAJAJ FINANCE LTD.|01-04-2007|31-03-2012|1.0137
28897|BAJAJ FINANCE LTD.|01-04-2008|31-03-2013|1.1228
28897|BAJAJ FINANCE LTD.|01-04-2009|31-03-2014|1.3172
28897|BAJAJ FINANCE LTD.|01-04-2010|31-03-2015|1.0898
28897|BAJAJ FINANCE LTD.|01-04-2011|31-03-2016|1.0509
28897|BAJAJ FINANCE LTD.|01-04-2012|31-03-2017|1.1350
28897|BAJAJ FINANCE LTD.|01-04-2013|31-03-2018|1.2173
28897|BAJAJ FINANCE LTD.|01-04-2014|31-03-2019|1.0897
28897|BAJAJ FINANCE LTD.|01-04-2015|31-03-2020|1.2647
524457|BANDHAN BANK LTD.|01-04-2015|31-03-2020|1.7381
30136|BANK OF BARODA|01-04-2004|31-03-2009|1.2625
30136|BANK OF BARODA|01-04-2005|31-03-2010|1.0924
30136|BANK OF BARODA|01-04-2006|31-03-2011|1.0461
30136|BANK OF BARODA|01-04-2007|31-03-2012|1.0420
30136|BANK OF BARODA|01-04-2008|31-03-2013|0.9917
30136|BANK OF BARODA|01-04-2009|31-03-2014|1.0748
30136|BANK OF BARODA|01-04-2010|31-03-2015|1.3835
30136|BANK OF BARODA|01-04-2011|31-03-2016|1.5043
30136|BANK OF BARODA|01-04-2012|31-03-2017|1.6425
30136|BANK OF BARODA|01-04-2013|31-03-2018|1.6675
30136|BANK OF BARODA|01-04-2014|31-03-2019|1.5834
30136|BANK OF BARODA|01-04-2015|31-03-2020|1.4386
32433|BERGER PAINTS INDIA LTD.|01-04-2004|31-03-2009|0.6466
32433|BERGER PAINTS INDIA LTD.|01-04-2005|31-03-2010|0.6140
32433|BERGER PAINTS INDIA LTD.|01-04-2006|31-03-2011|0.6656
32433|BERGER PAINTS INDIA LTD.|01-04-2007|31-03-2012|0.7052
32433|BERGER PAINTS INDIA LTD.|01-04-2008|31-03-2013|0.6403
32433|BERGER PAINTS INDIA LTD.|01-04-2009|31-03-2014|0.7732
32433|BERGER PAINTS INDIA LTD.|01-04-2010|31-03-2015|0.9063
32433|BERGER PAINTS INDIA LTD.|01-04-2011|31-03-2016|0.8133
32433|BERGER PAINTS INDIA LTD.|01-04-2012|31-03-2017|0.8614
32433|BERGER PAINTS INDIA LTD.|01-04-2013|31-03-2018|0.9114
32433|BERGER PAINTS INDIA LTD.|01-04-2014|31-03-2019|0.9773
32433|BERGER PAINTS INDIA LTD.|01-04-2015|31-03-2020|0.9901
34162|BHARTI AIRTEL LTD.|01-04-2004|31-03-2009|0.7685
34162|BHARTI AIRTEL LTD.|01-04-2005|31-03-2010|0.7004
34162|BHARTI AIRTEL LTD.|01-04-2006|31-03-2011|0.6844
34162|BHARTI AIRTEL LTD.|01-04-2007|31-03-2012|0.6718
34162|BHARTI AIRTEL LTD.|01-04-2008|31-03-2013|0.7304
34162|BHARTI AIRTEL LTD.|01-04-2009|31-03-2014|0.7099
34162|BHARTI AIRTEL LTD.|01-04-2010|31-03-2015|0.7309
34162|BHARTI AIRTEL LTD.|01-04-2011|31-03-2016|0.7199
34162|BHARTI AIRTEL LTD.|01-04-2012|31-03-2017|0.7526
34162|BHARTI AIRTEL LTD.|01-04-2013|31-03-2018|0.7835
34162|BHARTI AIRTEL LTD.|01-04-2014|31-03-2019|0.7665
34162|BHARTI AIRTEL LTD.|01-04-2015|31-03-2020|0.7883
36073|BIOCON LTD.|01-04-2004|31-03-2009|0.7809
36073|BIOCON LTD.|01-04-2005|31-03-2010|0.8288
36073|BIOCON LTD.|01-04-2006|31-03-2011|0.8932
36073|BIOCON LTD.|01-04-2007|31-03-2012|0.9483
36073|BIOCON LTD.|01-04-2008|31-03-2013|0.9693
36073|BIOCON LTD.|01-04-2009|31-03-2014|0.9570
36073|BIOCON LTD.|01-04-2010|31-03-2015|0.8556
36073|BIOCON LTD.|01-04-2011|31-03-2016|0.7155
36073|BIOCON LTD.|01-04-2012|31-03-2017|0.6588
36073|BIOCON LTD.|01-04-2013|31-03-2018|0.7121
36073|BIOCON LTD.|01-04-2014|31-03-2019|0.7913
36073|BIOCON LTD.|01-04-2015|31-03-2020|0.7898
149711|BOSCH LTD.|01-04-2004|31-03-2009|0.5754
149711|BOSCH LTD.|01-04-2005|31-03-2010|0.5240
149711|BOSCH LTD.|01-04-2006|31-03-2011|0.5284
149711|BOSCH LTD.|01-04-2007|31-03-2012|0.4784
149711|BOSCH LTD.|01-04-2008|31-03-2013|0.4173
149711|BOSCH LTD.|01-04-2009|31-03-2014|0.3881
149711|BOSCH LTD.|01-04-2010|31-03-2015|0.5239
149711|BOSCH LTD.|01-04-2011|31-03-2016|0.7313
149711|BOSCH LTD.|01-04-2012|31-03-2017|0.9283
149711|BOSCH LTD.|01-04-2013|31-03-2018|1.0370
149711|BOSCH LTD.|01-04-2014|31-03-2019|1.1444
149711|BOSCH LTD.|01-04-2015|31-03-2020|1.1846
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2004|31-03-2009|0.8555
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2005|31-03-2010|0.6930
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2006|31-03-2011|0.6970
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2007|31-03-2012|0.6747
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2008|31-03-2013|0.6020
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2009|31-03-2014|0.6505
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2010|31-03-2015|1.0197
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2011|31-03-2016|1.0311
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2012|31-03-2017|1.2254
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2013|31-03-2018|1.2196
33873|BHARAT PETROLEUM CORPN. LTD.|01-04-2014|31-03-2019|1.2045
