dividend_cocode|company_name|div_announcement_date|div_per_share
23354|A C C LTD.|05-05-2004|4.0000
23354|A C C LTD.|06-05-2005|7.0000
23354|A C C LTD.|24-01-2006|8.0000
23354|A C C LTD.|01-02-2007|15.0000
23354|A C C LTD.|19-07-2007|10.0000
23354|A C C LTD.|31-01-2008|10.0000
23354|A C C LTD.|24-07-2008|10.0000
23354|A C C LTD.|05-02-2009|10.0000
23354|A C C LTD.|23-07-2009|10.0000
23354|A C C LTD.|04-02-2010|13.0000
23354|A C C LTD.|22-07-2010|10.0000
23354|A C C LTD.|03-02-2011|7.5000
23354|A C C LTD.|04-02-2011|13.0000
23354|A C C LTD.|28-07-2011|11.0000
23354|A C C LTD.|09-02-2012|17.0000
23354|A C C LTD.|26-07-2012|11.0000
23354|A C C LTD.|07-02-2013|19.0000
23354|A C C LTD.|25-07-2013|11.0000
23354|A C C LTD.|06-02-2014|19.0000
23354|A C C LTD.|24-07-2014|15.0000
23354|A C C LTD.|03-02-2015|19.0000
23354|A C C LTD.|17-07-2015|11.0000
23354|A C C LTD.|10-02-2016|6.0000
23354|A C C LTD.|26-07-2016|11.0000
23354|A C C LTD.|03-02-2017|6.0000
23354|A C C LTD.|17-07-2017|11.0000
23354|A C C LTD.|08-02-2018|15.0000
23354|A C C LTD.|05-02-2019|14.0000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|28-05-2008|1.5000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|10-02-2009|2.0000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|20-05-2009|1.0000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|28-01-2010|2.5000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|17-05-2010|1.5000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|08-02-2011|0.5000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|28-04-2011|0.4000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|06-02-2012|0.3000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|14-05-2012|0.7000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|15-05-2013|1.0000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|15-05-2014|1.0000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|02-05-2015|1.1000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|15-03-2016|1.1000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|24-05-2017|1.3000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|03-05-2018|2.0000
86597|ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.|04-06-2019|0.2000
86607|AMBUJA CEMENTS LTD.|16-04-2004|5.0000
86607|AMBUJA CEMENTS LTD.|28-07-2004|3.0000
86607|AMBUJA CEMENTS LTD.|20-04-2005|6.0000
86607|AMBUJA CEMENTS LTD.|30-07-2005|0.6000
86607|AMBUJA CEMENTS LTD.|17-04-2006|1.0000
86607|AMBUJA CEMENTS LTD.|20-10-2006|1.5000
86607|AMBUJA CEMENTS LTD.|02-02-2007|0.8000
86607|AMBUJA CEMENTS LTD.|20-07-2007|1.2000
86607|AMBUJA CEMENTS LTD.|21-07-2007|1.3000
86607|AMBUJA CEMENTS LTD.|01-02-2008|1.0000
86607|AMBUJA CEMENTS LTD.|25-07-2008|1.2000
86607|AMBUJA CEMENTS LTD.|06-02-2009|1.0000
86607|AMBUJA CEMENTS LTD.|23-07-2009|1.2000
86607|AMBUJA CEMENTS LTD.|04-02-2010|1.2000
86607|AMBUJA CEMENTS LTD.|22-07-2010|1.2000
86607|AMBUJA CEMENTS LTD.|03-02-2011|1.4000
86607|AMBUJA CEMENTS LTD.|28-07-2011|1.4000
86607|AMBUJA CEMENTS LTD.|09-02-2012|1.8000
86607|AMBUJA CEMENTS LTD.|26-07-2012|1.4000
86607|AMBUJA CEMENTS LTD.|07-02-2013|2.2000
86607|AMBUJA CEMENTS LTD.|24-07-2013|1.4000
